"","window","bayes_factor","is_sig","mean_a","mean_b","sd_a","sd_b","log2_fold_change","a","b"
"1","Chr1:245951-246000",-0.528567765867499,FALSE,82.1263384830302,101.134116319184,76.4319293475868,29.9577954985526,-0.300352870759221,"col_a4_4h","col_mock"
"2","Chr1:246001-246050",-0.433526098482507,FALSE,221.523404851712,182.757603834449,34.7514206267069,87.6910895631043,0.2775277010848,"col_a4_4h","col_mock"
"3","Chr1:246051-246100",-0.45804993744128,FALSE,423.479402770588,384.891615270918,73.5456349967791,73.2453387401519,0.137839558447557,"col_a4_4h","col_mock"
"4","Chr1:246101-246150",-0.366030346419014,FALSE,446.673876712001,361.315071173213,104.392517009493,132.134652755723,0.305964448772751,"col_a4_4h","col_mock"
"5","Chr1:246151-246200",-0.358339931804093,FALSE,331.041301580268,468.465515849212,117.373066899131,238.481123956524,-0.500931631090743,"col_a4_4h","col_mock"
"6","Chr1:246201-246250",-0.328498398368431,FALSE,362.091685718833,466.05316990471,128.604326208368,136.107549909052,-0.364139504538739,"col_a4_4h","col_mock"
"7","Chr1:246251-246300",-0.21001840524747,FALSE,587.792718862743,268.384510800994,397.130880321353,232.445482391249,1.13100607597941,"col_a4_4h","col_mock"
"8","Chr1:246301-246350",-0.534097796989777,FALSE,748.082866458707,671.754279496715,194.438565562846,292.621861492213,0.155264481697976,"col_a4_4h","col_mock"
"9","Chr1:246351-246400",-0.364218407651562,FALSE,617.958362023428,812.384370416534,187.519217529797,332.530066113484,-0.39465285092938,"col_a4_4h","col_mock"
"10","Chr1:246401-246450",-0.395861243334621,FALSE,515.272380763347,389.237580227143,104.01079723083,249.513636355879,0.404684257726601,"col_a4_4h","col_mock"
"11","Chr1:246451-246500",-0.521774139994056,FALSE,367.247878713046,309.272024483326,111.123103410978,205.61974339945,0.247877818674268,"col_a4_4h","col_mock"
"12","Chr1:246501-246550",-0.552725139508638,FALSE,323.210417213459,381.782579804728,224.195959230797,287.233845937122,-0.240277578591232,"col_a4_4h","col_mock"
"13","Chr1:246551-246600",-0.574585929315286,FALSE,444.494533674824,439.57933714097,66.2442164405064,123.847076581578,0.0160421045413837,"col_a4_4h","col_mock"
"14","Chr1:246601-246650",0.759740877719563,FALSE,427.5110010333,587.743473497551,94.077179928066,17.4171772032874,-0.45922506880761,"col_a4_4h","col_mock"
"15","Chr1:246651-246700",-0.0682602795052061,FALSE,163.462640463185,112.282682646646,58.5680391933521,15.3207839027665,0.541825506018385,"col_a4_4h","col_mock"
"16","Chr1:246751-246800",-0.137374440427746,FALSE,131.505689181332,208.810378041464,55.3318989090963,83.3012242589407,-0.667068202232565,"col_a4_4h","col_mock"
